2016/03/20 14:06:28 [router.go:829][D] | GET        | /                                        | 64.358994ms      | match      | /                                        | 
2016/03/20 14:06:39 [router.go:829][D] | GET        | /                                        | 4.533689ms       | match      | /                                        | 
2016/03/20 14:06:39 [router.go:829][D] | GET        | /category                                | 686.43µs         | match      | /category                                | 
2016/03/20 14:06:39 [router.go:829][D] | GET        | /test                                    | 1.230942ms       | match      | /test                                    | 
2016/03/20 14:06:41 [router.go:829][D] | GET        | /test                                    | 557.94µs         | match      | /test                                    | 
2016/03/20 14:06:42 [router.go:829][D] | GET        | /test                                    | 382.307µs        | match      | /test                                    | 
2016/03/20 14:06:43 [router.go:829][D] | GET        | /test                                    | 261.076µs        | match      | /test                                    | 
2016/03/20 14:06:43 [router.go:829][D] | GET        | /test                                    | 255.253µs        | match      | /test                                    | 
2016/03/20 14:06:44 [router.go:829][D] | GET        | /                                        | 1.886792ms       | match      | /                                        | 
2016/03/20 14:06:44 [router.go:829][D] | GET        | /test                                    | 337.404µs        | match      | /test                                    | 
2016/03/20 14:06:44 [router.go:829][D] | GET        | /category                                | 241.512µs        | match      | /category                                | 
2016/03/20 14:06:54 [router.go:829][D] | GET        | /test                                    | 302.135µs        | match      | /test                                    | 
2016/03/20 14:07:03 [router.go:829][D] | GET        | /test                                    | 264.502µs        | match      | /test                                    | 
2016/03/20 14:07:49 [router.go:829][D] | GET        | /                                        | 1.116052ms       | match      | /                                        | 
2016/03/20 14:07:49 [router.go:829][D] | GET        | /test                                    | 414.789µs        | match      | /test                                    | 
2016/03/20 14:07:49 [router.go:829][D] | GET        | /category                                | 312.239µs        | match      | /category                                | 
2016/03/20 14:09:00 [router.go:829][D] | GET        | /                                        | 1.136737ms       | match      | /                                        | 
2016/03/20 14:09:00 [router.go:829][D] | GET        | /test                                    | 325.391µs        | match      | /test                                    | 
2016/03/20 14:09:00 [router.go:829][D] | GET        | /category                                | 295.199µs        | match      | /category                                | 
2016/03/20 14:10:00 [router.go:829][D] | GET        | /                                        | 1.986218ms       | match      | /                                        | 
2016/03/20 14:10:14 [router.go:829][D] | GET        | /                                        | 9.791063ms       | match      | /                                        | 
2016/03/20 14:10:15 [router.go:829][D] | GET        | /test                                    | 489.685µs        | match      | /test                                    | 
2016/03/20 14:10:15 [router.go:829][D] | GET        | /category                                | 314.942µs        | match      | /category                                | 
2016/03/20 14:10:34 [router.go:829][D] | GET        | /                                        | 1.839176ms       | match      | /                                        | 
2016/03/20 14:10:34 [router.go:829][D] | GET        | /test                                    | 411.296µs        | match      | /test                                    | 
2016/03/20 14:10:34 [router.go:829][D] | GET        | /category                                | 285.839µs        | match      | /category                                | 
2016/03/20 14:16:02 [router.go:829][D] | GET        | /                                        | 1.959141ms       | match      | /                                        | 
2016/03/20 14:16:03 [router.go:829][D] | GET        | /test                                    | 378.172µs        | match      | /test                                    | 
2016/03/20 14:16:03 [router.go:829][D] | GET        | /category                                | 293.293µs        | match      | /category                                | 
2016/03/20 14:18:45 [asm_amd64.s:1721][I] http server Running on :8088
